,cell_line,modification,individual_name,r,p_value,ci_low,ci_high
20421,HAP-1,H3K27ac,HERVK-int,-0.35400405951472197,0.001972946348213934,-0.5439833266214248,-0.12950114485409894
20422,HAP-1,H3K27ac,LTR22C0,0.11644459746434009,0.29150102622091384,-0.10118802853783443,0.3234415189000954
20423,HAP-1,H3K27ac,LTR06,0.12463216492863319,0.3004013170647088,-0.11283562390236256,0.348631712154843
20424,HAP-1,H3K27ac,LTR22E,-0.028661985875239073,0.7970121506995602,-0.24289230930519662,0.1882341274047577
20425,HAP-1,H3K27ac,LTR22,-0.012841746510815804,0.9204307219352135,-0.25978995491862006,0.23568298817013714
20426,HAP-1,H3K27ac,LTR1B0,0.011017601737972088,0.9193265769387733,-0.20010126900154845,0.22115876716040783
20427,HAP-1,H3K27ac,MER92C,0.03325335303652836,0.8042848557581743,-0.22706138704657633,0.289133223831792
20428,HAP-1,H3K27ac,MER75A,-0.2097754828930295,0.05546906103399239,-0.40790296947924154,0.007219956581083463
20429,HAP-1,H3K27ac,L1P4d,0.07221028946255136,0.5867851844591154,-0.18766536974651019,0.3226377899171588
20430,HAP-1,H3K27ac,MARE10,0.3090909090909091,0.3550284397015071,-0.37116152976936045,0.7734465006446151
20431,HAP-1,H3K27ac,X1_LINE,0.7,0.1881204043741873,-0.5909242098168018,0.9841121485643708
20432,HAP-1,H3K27ac,HERV4_I,-0.1435632862403805,0.29571449243879033,-0.39503909844784696,0.12792820602626834
20433,HAP-1,H3K27ac,LTR26E,0.2301244290227129,0.08224047530561998,-0.033424230286688686,0.4637501276728308
20434,HAP-1,H3K27ac,LTR47B3,-0.13113807557859625,0.2792055966144219,-0.3560652816959145,0.10815262898359004
20435,HAP-1,H3K27ac,LTR10G,-0.1776320020580102,0.13549537253462282,-0.3946891703431153,0.05820357834879175
20436,HAP-1,H3K27ac,MER41G,0.130886409179727,0.27660348352426634,-0.1066476046320679,0.3542872512634027
20437,HAP-1,H3K27ac,X5B_LINE,0.3356643356643357,0.2861229029149875,-0.31156114091973947,0.7701392856114634
20438,HAP-1,H3K27ac,CR1-L3A_Croc,-0.5166666666666667,0.1543901209862251,-0.8903601408134023,0.2729949929181571
20439,HAP-1,H3K27ac,LTR3B,-0.1837579482113113,0.11453519160792598,-0.3959147358225503,0.04702180731877221
20440,HAP-1,H3K27ac,HERVK3-int,-0.1173530553893773,0.3760577402987544,-0.36332188122040787,0.14390915535635795
20441,HAP-1,H3K27ac,LTR38C,-0.04776896332813773,0.6799359814964161,-0.26899162136509974,0.17824138310495316
20442,HAP-1,H3K27ac,LTR13_v,-0.20428691418152392,0.09471491175757404,-0.4242216668601929,0.03840587608856655
20443,HAP-1,H3K27ac,L1P3b,0.12702432531198926,0.2808207799551748,-0.10543381898917446,0.34631945928834196
20444,HAP-1,H3K27ac,UCON9B,0.2571428571428572,0.6227871720116618,-0.7099548815039933,0.8881687795204019
20445,HAP-1,H3K27ac,LTR21A,0.19691470054446464,0.1420622967313086,-0.06965667890234599,0.43723826621589623
20446,HAP-1,H3K27ac,MER134,-0.3137254901960785,0.22010439650726998,-0.6968903590916226,0.2087695464034717
20447,HAP-1,H3K27ac,EuthAT-N1,0.41208791208791207,0.16175105277252633,-0.20452275448527146,0.7945655015860607
20448,HAP-1,H3K27ac,LTR14,-0.2470579237971976,0.04724807094554885,-0.466010927914532,0.0004083867479467572
20449,HAP-1,H3K27ac,L1M2a1,-0.05267977748123888,0.6792994474619136,-0.2948322067678291,0.19583055813682024
20450,HAP-1,H3K27ac,PRIMAX-int,-0.042553388057604516,0.9070828390046616,-0.6548316448425896,0.6034484640398878
20451,HAP-1,H3K27ac,HERVK11-int,0.10127837119546028,0.45765311658293795,-0.16671365420078832,0.3553362936800081
20452,HAP-1,H3K27ac,HUERS-P2-int,-0.028696668614845124,0.8291814720046765,-0.28275105980752663,0.22912005405298141
20453,HAP-1,H3K27ac,LTR35,0.06807329625948609,0.5900240729059496,-0.17907331241029115,0.3071383538643103
20454,HAP-1,H3K27ac,MER121B,-0.2043956043956044,0.4833462230422234,-0.6664934001031022,0.3711671602967108
20455,HAP-1,H3K27ac,Eulor6D,0.31468531468531474,0.31913878550330455,-0.3306543712972701,0.7595020413714013
20456,HAP-1,H3K27ac,LTR22C2,0.12237001766067876,0.33540091226712476,-0.12818982803218487,0.3582456062476848
20457,HAP-1,H3K27ac,Charlie11,,,,
20458,HAP-1,H3K27ac,MER57E2,0.04786440469981838,0.7212461666441646,-0.21320998605060826,0.3025587704691343
20459,HAP-1,H3K27ac,X7D_LINE,-0.16428571428571426,0.5584973732486012,-0.6263493137017071,0.38320387582765547
20460,HAP-1,H3K27ac,HERVIP10F-int,-0.056424845898530106,0.7401133675036331,-0.3738432533381196,0.2728251529781483
20461,HAP-1,H3K27ac,HERVIP10B3-int,-0.045801526829876545,0.7938906454207592,-0.3735058899294971,0.29206652398427485
20462,HAP-1,H3K27ac,Eulor2A,0.4065934065934066,0.14910193900151342,-0.18133927123225246,0.780408036232469
20463,HAP-1,H3K27ac,LTR3,-0.05288582615456836,0.6781136643184044,-0.2950221035643423,0.19563316121812319
20464,HAP-1,H3K27ac,LTR108a_Mam,0.3411764705882353,0.1959326248678891,-0.20099378276835864,0.7233398097217669
20465,HAP-1,H3K27ac,LTR18C,0.07447963800904978,0.6034628755128404,-0.20569375982070542,0.34336851508236754
20466,HAP-1,H3K27ac,LTR52-int,-0.11818181818181818,0.6099052209533063,-0.5243459061974548,0.331792824291107
20467,HAP-1,H3K27ac,MER83B-int,-0.12783673129433978,0.37133273530490385,-0.3906695130269996,0.15426827993418396
20468,HAP-1,H3K27ac,X33a_DNA,-0.08571428571428573,0.8717434402332361,-0.839532418490182,0.7809250413519363
20469,HAP-1,H3K27ac,MER50C,-0.0909090909090909,0.5572842802948847,-0.3781399782879198,0.21228784258364178
20470,HAP-1,H3K27ac,MER70-int,0.08506726861822042,0.6378645923408652,-0.2666113058152133,0.41675539657514915
20471,HAP-1,H3K27ac,LTR10B,-0.021114337674342922,0.8867291519367861,-0.30345823516359227,0.2646381083214167
20472,HAP-1,H3K27ac,LTR108d_Mam,,,,
20473,HAP-1,H3K27ac,LTR35A,-0.10458803083507874,0.4346108848643536,-0.35396995841569756,0.15867903688379673
20474,HAP-1,H3K27ac,Eulor2B,0.54393781569122,0.130054688990847,-0.24262852938000767,0.8990088920903377
20475,HAP-1,H3K27ac,X23_DNA,0.4109901001389786,0.07183418332140448,-0.05816022575392409,0.731445906285402
20476,HAP-1,H3K27ac,Eulor12,0.0879120879120879,0.7751954088891221,-0.48755798949234325,0.6101316326425746
